,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Power(HP),0.8144735544633477,0.365464513970451,-0.12708704457244757,0.1232230462113795,0.20508164804055545,-0.020645452042980357,0.08713205660173776,0.012324662539714027,0.3177965241827307,0.12408553865117719,0.06907423980360668,-0.014780322017729868,-0.011104604296481925
Torque(Nm),0.8699557248808155,0.17866280627558162,0.02401695925536122,0.22604404663755343,0.15471857016371318,0.06927031477769251,0.046577430395438414,0.190202452928265,-0.2283159702103343,0.193805420272857,-0.04567877959683954,-0.01576219933062133,0.021852904845379044
Displacement,0.8475796625080463,0.26081057947793324,-0.16004585476793623,0.1780794036477883,0.01017471125099638,0.13911433992368527,0.23440886078452058,0.09399127954939401,-0.004478774717274193,-0.2646540323261218,-0.04706467225945767,0.0009622194771819956,0.027268722842311154
Length,0.8219553625510938,-0.3340372861445964,0.22413237207152556,-0.2104573145671765,-0.2385204883285829,0.09364006388086954,-0.029608475039289935,0.08137020522715098,0.05895845015814792,0.02259042888404574,0.06574955349519816,0.030456363952515584,0.18943493540578787
Width,0.7153705506144739,-0.20857292737575273,0.06425380119359256,0.04007224373174515,-0.14301005405722345,-0.6398719348662418,0.07917833025059173,0.028410201513087534,-0.012098666584665045,-0.017514202869005784,-0.028332832089335177,-0.0257009551485836,-0.011280246748720055
Height,0.14917065249836517,-0.7828135538415576,-0.39900763442675,0.32766973154584683,0.199116500615989,-0.030417623613177187,-0.19466242893899685,-0.05515732877634743,0.04014685126189006,-0.023198333286883477,-0.08035995547856696,0.06228125525804449,0.06619287511834851
Wheelbase,0.7902863476635325,-0.41862464517234454,0.21719250543005186,-0.11780925132547146,-0.13012007732905126,0.1566629078769706,-0.14445764379072545,0.16375869304938678,0.11019103022726555,-0.011710700823279588,-0.14217336473495729,-0.028052794194966136,-0.1292688703910975
Cargo Volume,0.33281141187576735,-0.7056832713778042,0.16882672649642907,-0.3349321101535661,0.4506644248734364,0.0176932420813008,0.20001061841649762,-0.06162672195890752,-0.0428730262223811,-0.015511561010415795,0.02614128966764695,-0.01617471713002664,-0.018122754442577094
Unladen Weight,0.8927462509449842,-0.25652183615449026,0.027454957205618746,0.18405577277813853,-0.06800288472242111,0.052316394147971464,-0.1170080829266598,-0.023015893465329694,-0.08341861890320969,-0.05511229884494417,0.24673736216239034,0.03497418798140363,-0.09428576460198333
Top Speed,0.7727762321754752,0.5048720688670904,0.20006778253822782,-0.13176955185659825,0.09519089282723195,-0.050794519343570245,-0.07180797287632407,-0.1276051728044585,-0.025826503179682526,-0.007970536142210728,-0.0716477785699474,0.22661485337561546,-0.015220664614004377
Acceleration 0-62 Mph (0-100 kph),-0.7807289867780748,-0.444630850724085,-0.17048396813021177,0.04517713691220694,-0.18940430431695895,0.026278327737008216,0.25568887585891525,0.1452670005290908,0.03505893363454326,0.07585416162775882,0.02261503063598602,0.1697731463971557,-0.04794487985794865
Combined mpg,-0.44392741965943355,-0.1871384238148515,0.7401305751383653,0.4470355925876798,0.013110778506970698,0.04455742461519465,0.0835637078270998,-0.08743355882803004,0.05149638515611996,-0.005655964476725418,-0.023623660085539695,0.0012124690085844156,0.015664450834805468
Fuel capacity,0.8221543292303036,-0.19371994284253757,-0.19934467241013673,0.028343349365151066,-0.2963665039457622,0.1545993952434148,0.15913402446158081,-0.3032254867837753,-0.03693073252816624,0.09555244667011933,-0.06385240319324717,-0.04465253341490161,-0.020607288771666073
