ID,Company,Model,Segment,Predictia modelului
1,BMW,BMW 1 Series (F40) (2019-Present),Compact,Compact
2,KIA,2012 Kia cee'd,Compact,Compact
3,OPEL,OPEL Astra GTC (2011-Present),Compact,Compact
4,PROTON,PROTON Preve (2011-Present),Compact,Compact
5,ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Compact
6,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Compact
7,SEAT,SEAT Ibiza 5 doors (2017-Present),Compact,Crossover
8,ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Compact
9,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Compact
10,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Compact
11,OPEL,OPEL Astra GTC (2011-Present),Compact,Compact
12,AUDI,AUDI A3 Cabriolet (2016-Present),Compact,Compact
13,ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),Compact,Medium
14,DATSUN,DATSUN on-Do (2014-Present),Compact,Compact
15,MINI,MINI Clubman (2019-Present),Compact,Compact
16,ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Compact
17,SKODA,SKODA Rapid Spaceback (2013-Present),Compact,Compact
18,MAZDA,2019 Mazda 3/Axela Hatchback,Compact,Compact
19,AUDI,AUDI A3 Cabriolet (2016-Present),Compact,Coupe Cabrio
20,SUZUKI,SUZUKI Baleno (2016-Present),Compact,Compact
21,SKODA,2019 Skoda Scala,Compact,Compact
22,AUDI,AUDI A3 Sportback (2020-Present),Compact,Compact
23,OPEL,OPEL Astra Sport Sedan (2012-Present),Compact,Compact
24,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Compact
25,FORD,FORD Focus Active Wagon (2021-Present),Compact,Compact
26,NISSAN,NISSAN Primera Sedan (2002-Present),Compact,Compact
27,SKODA,SKODA Superb (2019-Present),Compact,Medium
28,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Compact
29,OPEL,2020 Opel Corsa,Compact,Crossover
30,MAZDA,2019 Mazda 3/Axela Hatchback,Compact,Compact
31,KIA,2012 Kia cee'd Sportswagon,Compact,Compact
32,MERCEDES BENZ,2019 Mercedes-Benz CLA Shooting Brake,Compact,Lower Premium
33,KIA,2012 Kia cee'd Sportswagon,Compact,Compact
34,OPEL,OPEL Astra GTC (2011-Present),Compact,Compact
35,SKODA,2019 Skoda Scala,Compact,Compact
36,FIAT,FIAT Panda (2011-Present),Compact,Mini
37,CHEVROLET,CHEVROLET Cruze Wagon (2012-Present),Compact,Compact
38,VOLKSWAGEN,VOLKSWAGEN Scirocco (2014-Present),Compact,Compact
39,RENAULT,RENAULT Captur (2019-Present),Compact,Crossover
40,SEAT,SEAT Leon SC 3-doors (2017-Present),Compact,Compact
41,BMW,BMW 2 Series Gran Tourer (F46) (2018-Present),Compact,Medium MPV
42,KIA,2012 Kia cee'd,Compact,Compact
43,MERCEDES BENZ,MERCEDES BENZ A-Class Sedan (V177) (2018-Present),Compact,Compact
44,FORD,FORD Fusion (2018-Present),Compact,Lower Premium
45,FIAT,FIAT Tipo / Egea (2015-Present),Compact,Compact
46,DS AUTOMOBILES,DS AUTOMOBILES DS 5 (2016-Present),Compact,Compact
47,MINI,MINI Clubman (2019-Present),Compact,Compact
48,KIA,2012 Kia cee'd Sportswagon,Compact,Compact
49,VOLKSWAGEN,VOLKSWAGEN Scirocco (2014-Present),Compact,Compact
50,MERCEDES BENZ,2019 Mercedes-Benz CLA Shooting Brake,Compact,Entry Premium
51,SKODA,SKODA Rapid Spaceback (2013-Present),Compact,Compact
52,SEAT,SEAT Leon SC 3-doors (2017-Present),Compact,Roadster & Convertible
53,MERCEDES BENZ,MERCEDES BENZ A-Class Sedan (V177) (2018-Present),Compact,Compact
54,BMW,BMW 1 Series (F40) (2019-Present),Compact,Compact
55,CHEVROLET,CHEVROLET Cruze HB5 (2011-Present),Compact,Compact
56,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Mini
57,OPEL,OPEL Astra GTC (2011-Present),Compact,Compact
58,SEAT,SEAT Ibiza 5 doors (2017-Present),Compact,Crossover
59,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Mini
60,KIA,2019 Kia ProCeed,Compact,Compact
61,MINI,MINI Mini Cooper 3-door (2021-Present),Compact,Small
62,SKODA,SKODA Fabia Combi (2018-Present),Compact,Compact
63,MINI,MINI Mini Cooper 3-door (2021-Present),Compact,Mini
64,MERCEDES BENZ,MERCEDES BENZ A-Class Sedan (V177) (2018-Present),Compact,Compact
65,BMW,BMW M8 Gran Coupe (2022-Present),Compact,Luxury
66,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Compact
67,OPEL,OPEL Astra Sport Sedan (2012-Present),Compact,Compact
68,HOLDEN,HOLDEN Cruze (2008-Present),Compact,Compact
69,OPEL,OPEL Astra Sport Sedan (2012-Present),Compact,Compact
70,HOLDEN,HOLDEN Cruze (2008-Present),Compact,Compact
71,FIAT,FIAT Tipo Station Wagon (2016-Present),Compact,Compact
