,Comunalitati,Varianta specifica
Power(HP),0.7707710268704289,0.22922897312957113
Torque(Nm),0.7638666057194753,0.2361333942805247
Displacement,0.7537603640099392,0.24623963599006082
Length,0.77596394630708,0.22403605369292
Width,0.4898922592076155,0.5101077407923845
Height,0.4423784747100712,0.5576215252899288
Wheelbase,0.7932078059266146,0.20679219407338545
Cargo Volume,0.434019637885853,0.565980362114147
Unladen Weight,0.8727359175098708,0.12726408249012922
Top Speed,0.8568388648185655,0.14316113518143447
Acceleration 0-62 Mph (0-100 kph),0.7875173035184336,0.21248269648156637
Combined mpg,0.17617812417735473,0.8238218758226452
Fuel capacity,0.6756788059507204,0.3243211940492796
