,F1,F2
Power(HP),0.8707866779940858,0.11181050173598682
Torque(Nm),0.821422330127978,0.29854976350115947
Displacement,0.8389581541973442,0.22340451990889615
Length,0.5148574443894356,0.7147627286476675
Width,0.48301277078312826,0.5065480455672696
Height,-0.2192439276814247,0.6279415377922482
Wheelbase,0.447393159359065,0.7700955569832414
Cargo Volume,-0.03484321988255101,0.6578796150619574
Unladen Weight,0.6222571467888888,0.6968012347721709
Top Speed,0.9249559653701269,-0.0359906507968683
Acceleration 0-62 Mph (0-100 kph),-0.8870117915210751,-0.026970080107525163
Combined mpg,-0.409024578383371,-0.09421793064836635
Fuel capacity,0.5805223680109344,0.5819558283836477
