Company,Model,Segment,Fuel,Power(HP),Torque(Nm),Displacement,Length,Width,Height,Wheelbase,Cargo Volume,Unladen Weight,Top Speed,Acceleration 0-62 Mph (0-100 kph),Combined mpg,Fuel capacity
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),Compact,Gasoline,280.0,400.0,1995.0,183.1,73.2,56.6,111.0,17.0,3406.0,149.0,5.2,30.5,15.3
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),Compact,Diesel,210.0,470.0,2143.0,183.1,73.2,56.6,111.0,17.0,3450.0,146.0,6.8,42.8,15.3
ALFA ROMEO,2023 Alfa Romeo Stelvio,Medium SUV,Gasoline,280.0,400.0,1995.0,184.5,74.9,66.7,110.9,18.5,3704.0,143.0,5.7,28.0,16.9
ALFA ROMEO,2023 Alfa Romeo Stelvio,Medium SUV,Diesel,210.0,470.0,2143.0,184.5,74.9,66.7,110.9,18.5,3847.0,134.0,6.6,36.8,16.9
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Gasoline,120.0,215.0,1368.0,171.3,70.8,57.7,103.7,12.4,2987.0,121.0,9.4,37.9,15.9
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Gasoline,170.0,250.0,1368.0,171.3,70.8,57.7,103.7,12.4,3042.0,135.0,7.7,48.0,15.9
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Gasoline,150.0,250.0,1368.0,171.3,70.8,57.7,103.7,12.4,3009.0,130.0,8.2,42.8,15.9
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Diesel,120.0,320.0,1598.0,171.3,70.8,57.7,103.7,12.4,3075.0,121.0,10.2,60.3,15.9
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Diesel,120.0,320.0,1598.0,171.3,70.8,57.7,103.7,12.4,3053.0,121.0,10.0,60.3,15.9
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Diesel,175.0,350.0,1956.0,171.3,70.8,57.7,103.7,12.4,3109.0,136.0,7.8,54.7,15.9
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Diesel,150.0,380.0,1956.0,171.3,70.8,57.7,103.7,12.4,3075.0,130.0,8.8,56.0,15.9
ALFA ROMEO,ALFA ROMEO Stelvio Quadrifoglio (2017-Present),Medium SUV,Gasoline,510.0,600.0,2891.0,185.1,77.0,66.2,110.9,18.5,4200.0,177.0,3.8,26.1,16.9
ALFA ROMEO,2016 Alfa Romeo Giulia Quadrifoglio,Medium,Gasoline,510.0,601.0,2891.0,182.6,73.7,56.1,111.0,17.0,3362.0,191.0,3.9,27.7,15.3
ALPINE,ALPINE A110 (2017-Present),Coupe,Gasoline,252.0,320.0,1800.0,164.5,70.8,49.3,95.2,3.5,2381.0,155.0,4.5,37.9,11.9
ALPINE,ALPINE A110 (2017-Present),Coupe,Gasoline,292.0,320.0,1800.0,164.6,70.8,50.6,95.2,3.4,2456.0,155.0,4.4,37.9,11.9
ARIEL,ARIEL Atom 3 (2008-Present),Exotic,Gasoline,370.0,420.0,1998.0,134.0,72.0,47.0,92.3,0.5,1350.0,155.0,2.9,29.4,15.9
ARIEL,ARIEL Atom 3 (2008-Present),Exotic,Gasoline,305.0,271.0,1998.0,134.0,72.0,47.0,92.3,0.5,1005.0,155.0,2.6,31.0,15.9
ARIEL,ARIEL Atom 3 (2008-Present),Exotic,Gasoline,234.0,201.0,1998.0,134.0,72.0,47.0,92.3,0.5,1349.0,155.0,3.0,33.6,15.9
ARIEL,ARIEL Atom 3 (2008-Present),Exotic,Gasoline,370.0,420.0,1998.0,134.0,72.0,47.0,92.3,0.5,1350.0,155.0,2.9,29.4,15.9
ASTON MARTIN,ASTON MARTIN V12 Vantage Roadster (2022-Present),Coupe,Gasoline,700.0,753.0,5204.0,177.7,78.0,50.2,106.5,7.1,4090.0,200.0,3.6,16.9,19.3
ASTON MARTIN,ASTON MARTIN DBX707 (2022-Present),Medium SUV,Gasoline,707.0,900.0,3982.0,198.4,78.7,66.1,120.5,22.5,4949.0,193.0,3.3,16.6,23.0
ASTON MARTIN,ASTON MARTIN DBX (2020-Present),Large SUV,Gasoline,550.0,700.0,3982.0,198.4,78.7,66.1,120.5,22.3,4949.0,181.0,4.5,16.4,22.5
AUDI,2019 Audi Q8,Large SUV,Gasoline,340.0,500.0,2967.0,196.8,78.7,67.3,118.1,62.0,4795.0,155.0,5.9,25.8,22.5
AUDI,2019 Audi Q8,Large SUV,Diesel,231.0,500.0,2967.0,196.8,78.7,67.3,118.1,62.0,4894.0,145.0,7.1,35.1,22.5
AUDI,2019 Audi Q8,Large SUV,Hybrid Gasoline,340.0,450.0,2967.0,196.8,78.7,67.3,118.1,17.8,5545.0,149.0,5.8,84.0,19.8
AUDI,AUDI S8 (2021-Present),Luxury,Gasoline,571.0,800.0,3996.0,204.3,76.6,58.1,118.0,17.8,4894.0,155.0,3.8,21.8,21.7
AUDI,AUDI R8 V10 performance RWD (2021-Present),Coupe,Gasoline,570.0,550.0,5204.0,174.4,76.4,48.7,104.3,4.0,3505.0,204.0,3.7,18.2,19.3
AUDI,AUDI R8 Coupe (2018-Present),Coupe,Gasoline,570.0,560.0,5204.0,174.4,80.2,48.7,104.3,4.0,3660.0,201.0,3.4,18.2,21.9
AUDI,AUDI R8 Coupe (2018-Present),Coupe,Gasoline,540.0,540.0,5204.0,174.4,80.2,48.7,104.3,4.0,3494.0,201.0,3.7,18.2,21.9
AUDI,AUDI R8 Coupe (2018-Present),Coupe,Gasoline,620.0,580.0,5204.0,174.4,80.2,48.7,104.3,4.0,3516.0,206.0,3.1,18.0,19.3
AUDI,AUDI A3 Sportback (2020-Present),Compact,Gasoline,150.0,250.0,1498.0,171.0,71.5,57.0,103.8,13.4,2822.0,139.0,8.4,46.1,13.2
AUDI,AUDI A3 Sportback (2020-Present),Compact,Diesel,116.0,300.0,1968.0,170.9,71.7,56.3,103.9,13.4,2965.0,128.0,10.1,65.3,11.9
AUDI,AUDI A3 Sportback (2020-Present),Compact,Diesel,150.0,360.0,1968.0,170.9,71.7,56.3,103.9,13.4,3109.0,139.0,8.4,60.3,13.2
AUDI,AUDI A3 Sportback (2020-Present),Compact,Mild Hybrid,150.0,250.0,1498.0,171.0,71.5,57.0,103.8,13.4,2910.0,139.0,8.4,47.0,13.2
AUDI,AUDI A3 Sedan (2020-Present),Compact,Gasoline,110.0,200.0,999.0,177.0,71.5,56.1,103.8,15.0,2701.0,130.0,10.6,44.4,11.9
AUDI,AUDI A3 Sedan (2020-Present),Compact,Gasoline,150.0,250.0,1498.0,177.0,71.5,56.1,103.8,15.0,2833.0,144.0,8.4,47.0,13.2
AUDI,AUDI A3 Sedan (2020-Present),Compact,Diesel,116.0,300.0,1968.0,177.0,71.5,56.1,103.8,15.0,2976.0,130.0,10.1,57.4,11.9
AUDI,AUDI A3 Sedan (2020-Present),Compact,Diesel,150.0,360.0,1968.0,177.0,71.5,56.1,103.8,15.0,3120.0,144.0,8.4,60.3,13.2
AUDI,AUDI A3 Sedan (2020-Present),Compact,Mild Hybrid,110.0,200.0,999.0,177.0,71.5,56.1,103.8,15.0,2833.0,130.0,10.6,48.0,11.9
AUDI,AUDI A3 Sedan (2020-Present),Compact,Mild Hybrid,150.0,250.0,1498.0,177.0,71.5,56.1,103.8,15.0,2910.0,144.0,8.4,42.8,13.2
AUDI,AUDI S3 Sportback (2020-Present),Compact,Gasoline,310.0,400.0,1984.0,171.3,71.5,56.6,103.5,11.5,3472.0,155.0,4.8,49.0,14.5
AUDI,AUDI Q5 (2020-Present),Crossover,Diesel,163.0,370.0,1968.0,184.3,74.5,65.4,111.0,19.4,3836.0,132.0,9.0,42.0,17.2
