ID,Company,Model,Segment,Fuel,Power(HP),Torque(Nm),Displacement,Length,Width,Height,Wheelbase,Cargo Volume,Unladen Weight,Top Speed,Acceleration 0-62 Mph (0-100 kph),Combined mpg,Fuel capacity,Partition
1,BMW,BMW 1 Series (F40) (2019-Present),Compact,Diesel,150.0,350.0,1995.0,170.0,70.8,56.5,105.1,13.4,3252.0,135.0,8.5,53.5,13.2,Antrenament
2,KIA,2012 Kia cee'd,Compact,Gasoline,101.0,137.0,1396.0,169.7,70.1,57.9,104.3,13.4,2773.0,113.0,12.8,39.2,14.0,Antrenament
3,OPEL,OPEL Astra GTC (2011-Present),Compact,Gasoline,170.0,260.0,1598.0,175.8,72.4,58.3,106.1,13.1,3314.0,136.0,8.6,38.6,14.8,Antrenament
4,PROTON,PROTON Preve (2011-Present),Compact,Gasoline,109.0,150.0,1597.0,178.9,70.3,60.0,104.3,17.9,2921.0,106.0,12.5,29.4,13.2,Antrenament
5,ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Diesel,120.0,320.0,1598.0,171.3,70.8,57.7,103.7,12.4,3053.0,121.0,10.0,60.3,15.9,Antrenament
6,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,150.0,320.0,1995.0,170.4,69.5,55.9,105.9,12.7,3296.0,130.0,8.4,54.7,13.7,Antrenament
7,SEAT,SEAT Ibiza 5 doors (2017-Present),Compact,Gasoline,115.0,200.0,999.0,159.8,76.5,56.9,100.9,12.5,2452.0,120.0,9.6,57.4,10.6,Antrenament
8,ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Gasoline,120.0,215.0,1368.0,171.3,70.8,57.7,103.7,12.4,2987.0,121.0,9.4,37.9,15.9,Antrenament
9,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Diesel,95.0,190.0,1248.0,158.3,68.3,58.2,98.8,10.1,2643.0,113.0,11.9,71.3,11.9,Antrenament
10,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Gasoline,90.0,169.0,998.0,158.3,68.3,58.2,98.8,10.1,2469.0,112.0,11.9,54.7,11.9,Antrenament
11,OPEL,OPEL Astra GTC (2011-Present),Compact,Diesel,111.0,281.0,1686.0,175.8,72.4,58.3,106.1,13.1,2912.0,113.0,11.9,52.0,14.8,Antrenament
12,AUDI,AUDI A3 Cabriolet (2016-Present),Compact,Diesel,150.0,340.0,1968.0,174.1,70.6,55.5,102.2,11.3,3428.0,139.0,8.8,48.0,13.2,Antrenament
13,ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),Compact,Diesel,210.0,470.0,2143.0,183.1,73.2,56.6,111.0,17.0,3450.0,146.0,6.8,42.8,15.3,Antrenament
14,DATSUN,DATSUN on-Do (2014-Present),Compact,Gasoline,82.0,132.0,1596.0,170.7,66.9,59.1,97.5,18.7,2557.0,103.0,12.9,31.8,13.2,Antrenament
15,MINI,MINI Clubman (2019-Present),Compact,Diesel,150.0,329.0,1995.0,167.4,70.9,56.7,105.1,12.7,2976.0,132.0,8.6,54.7,12.7,Antrenament
16,ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Gasoline,170.0,250.0,1368.0,171.3,70.8,57.7,103.7,12.4,3042.0,135.0,7.7,48.0,15.9,Antrenament
17,SKODA,SKODA Rapid Spaceback (2013-Present),Compact,Diesel,90.0,230.0,1598.0,169.4,67.2,57.4,102.4,14.7,2773.0,114.0,11.9,61.9,14.5,Antrenament
18,MAZDA,2019 Mazda 3/Axela Hatchback,Compact,Diesel,116.0,270.0,1759.0,175.6,70.7,56.7,107.3,12.6,2910.0,124.0,12.1,51.1,13.2,Antrenament
19,AUDI,AUDI A3 Cabriolet (2016-Present),Compact,Gasoline,190.0,320.0,1984.0,174.1,70.6,55.5,102.2,11.3,3594.0,150.0,6.9,37.3,13.2,Antrenament
20,SUZUKI,SUZUKI Baleno (2016-Present),Compact,Gasoline,111.0,170.0,998.0,157.3,68.7,57.9,99.2,12.5,2161.0,124.0,11.4,52.3,9.8,Antrenament
21,SKODA,2019 Skoda Scala,Compact,Gasoline,115.0,200.0,999.0,171.7,70.6,57.9,104.3,16.5,2734.0,125.0,9.8,47.0,13.2,Antrenament
22,AUDI,AUDI A3 Sportback (2020-Present),Compact,Gasoline,150.0,250.0,1498.0,171.0,71.5,57.0,103.8,13.4,2822.0,139.0,8.4,46.1,13.2,Antrenament
23,OPEL,OPEL Astra Sport Sedan (2012-Present),Compact,Diesel,95.0,180.0,1248.0,183.4,71.4,59.1,105.7,16.2,3097.0,112.0,14.6,56.0,14.8,Antrenament
24,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Gasoline,101.0,201.0,1398.0,158.3,68.3,58.2,98.8,10.1,2535.0,115.0,11.0,45.2,11.9,Antrenament
25,FORD,FORD Focus Active Wagon (2021-Present),Compact,Gasoline,280.0,420.0,2261.0,184.1,72.8,58.6,106.3,20.9,3446.0,155.0,5.8,28.7,13.7,Antrenament
26,NISSAN,NISSAN Primera Sedan (2002-Present),Compact,Diesel,126.0,280.0,2184.0,179.9,69.3,58.3,105.5,15.9,3073.2,121.2,10.9,39.9,16.4,Antrenament
27,SKODA,SKODA Superb (2019-Present),Compact,Gasoline,150.0,250.0,1498.0,191.7,73.4,57.8,111.9,22.1,3256.0,131.0,9.1,39.2,17.4,Antrenament
28,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,190.0,400.0,1995.0,170.4,69.5,55.9,105.9,12.7,3219.0,142.0,7.0,60.3,13.7,Antrenament
29,OPEL,2020 Opel Corsa,Compact,Gasoline,100.0,205.0,1199.0,159.8,77.2,56.5,99.9,10.9,2403.0,117.0,9.9,56.0,10.8,Antrenament
30,MAZDA,2019 Mazda 3/Axela Hatchback,Compact,Gasoline,122.0,213.0,1998.0,175.6,70.7,56.7,107.3,13.6,2864.0,122.0,10.8,42.8,13.2,Antrenament
31,KIA,2012 Kia cee'd Sportswagon,Compact,Diesel,128.0,260.0,1582.0,177.4,70.1,58.5,104.3,18.6,3177.0,115.0,12.1,42.0,14.0,Antrenament
32,MERCEDES BENZ,2019 Mercedes-Benz CLA Shooting Brake,Compact,Diesel,150.0,320.0,1950.0,184.6,78.7,56.8,107.4,17.8,3296.0,137.0,8.4,56.0,11.4,Antrenament
33,KIA,2012 Kia cee'd Sportswagon,Compact,Gasoline,101.0,137.0,1396.0,177.4,70.1,58.5,104.3,18.6,2884.0,112.0,13.5,37.9,14.0,Antrenament
34,OPEL,OPEL Astra GTC (2011-Present),Compact,Gasoline,102.0,130.0,1398.0,175.8,72.4,58.3,106.1,13.1,3168.0,111.0,14.5,40.0,14.8,Antrenament
35,SKODA,2019 Skoda Scala,Compact,Diesel,115.0,250.0,1598.0,170.3,70.6,57.9,104.3,16.5,2765.0,124.0,10.1,58.8,13.2,Antrenament
36,FIAT,FIAT Panda (2011-Present),Compact,Gasoline,86.0,145.0,875.0,143.7,64.6,61.0,90.6,7.9,2150.0,110.0,11.2,56.0,9.8,Antrenament
37,CHEVROLET,CHEVROLET Cruze Wagon (2012-Present),Compact,Gasoline,124.0,155.0,1598.0,184.1,70.7,58.4,105.7,17.7,2998.0,119.0,12.6,37.0,15.9,Antrenament
38,VOLKSWAGEN,VOLKSWAGEN Scirocco (2014-Present),Compact,Gasoline,220.0,35.0,1984.0,167.6,71.3,55.4,101.5,11.0,3073.0,139.0,6.5,36.8,14.5,Antrenament
39,RENAULT,RENAULT Captur (2019-Present),Compact,Gasoline,130.0,240.0,1333.0,166.4,70.7,62.0,103.9,18.9,2721.0,121.0,10.6,37.9,12.7,Antrenament
40,SEAT,SEAT Leon SC 3-doors (2017-Present),Compact,Gasoline,115.0,200.0,999.0,167.2,71.3,56.9,81.1,13.4,2652.0,126.0,9.8,53.5,13.2,Antrenament
41,BMW,BMW 2 Series Gran Tourer (F46) (2018-Present),Compact,Gasoline,109.0,190.0,1499.0,179.8,70.9,63.3,109.4,22.8,3274.0,117.0,11.7,38.6,13.5,Antrenament
42,KIA,2012 Kia cee'd,Compact,Gasoline,135.0,165.0,1591.0,169.7,70.1,57.9,104.3,13.4,2795.0,121.0,9.9,38.6,14.0,Antrenament
43,MERCEDES BENZ,MERCEDES BENZ A-Class Sedan (V177) (2018-Present),Compact,Diesel,190.0,400.0,1950.0,179.1,70.7,56.9,107.4,14.8,3230.0,153.0,7.0,42.8,13.5,Antrenament
44,FORD,FORD Fusion (2018-Present),Compact,Gasoline,181.0,251.0,1507.0,191.8,83.5,58.1,112.2,16.0,3472.0,133.0,9.1,27.0,16.5,Antrenament
45,FIAT,FIAT Tipo / Egea (2015-Present),Compact,Gasoline,95.0,127.0,1368.0,178.4,70.6,58.9,103.8,18.4,2535.0,115.0,11.5,41.3,11.9,Antrenament
46,DS AUTOMOBILES,DS AUTOMOBILES DS 5 (2016-Present),Compact,Hybrid Diesel,163.0,300.0,1997.0,178.3,73.7,59.3,107.4,11.5,3660.0,131.0,8.6,54.7,15.9,Antrenament
47,MINI,MINI Clubman (2019-Present),Compact,Gasoline,102.0,180.0,1499.0,167.4,70.9,56.7,105.1,12.7,2976.0,115.0,11.3,42.0,12.7,Antrenament
48,KIA,2012 Kia cee'd Sportswagon,Compact,Gasoline,135.0,165.0,1591.0,177.4,70.1,58.5,104.3,18.6,2901.0,119.0,11.1,36.8,14.0,Antrenament
49,VOLKSWAGEN,VOLKSWAGEN Scirocco (2014-Present),Compact,Gasoline,181.0,281.0,1984.0,167.6,71.3,55.4,101.5,11.0,3007.0,141.0,7.4,39.2,14.5,Antrenament
50,MERCEDES BENZ,2019 Mercedes-Benz CLA Shooting Brake,Compact,Gasoline,224.0,350.0,1991.0,184.6,78.7,56.8,107.4,17.8,3307.0,155.0,6.4,35.6,11.4,Antrenament
